Transaction Name,Transaction Name URL,Announced Date,Investor Names
Pre Seed Round - Hometuls,https://www.crunchbase.com/funding_round/hometuls-pre-seed--7fae80d9,2019-01-01,"Parallel18, Start-Up Chile"
Seed Round - SavvyLane.com,https://www.crunchbase.com/funding_round/savvylane-com-seed--fcab2fa8,2019-01-01,
Pre Seed Round - Invisible AI | Visual Intelligence Platform,https://www.crunchbase.com/funding_round/invisible-ai-pre-seed--40465faa,2019-01-01,K9 Ventures
Seed Round - Meeco,https://www.crunchbase.com/funding_round/meeco-seed--f12dc944,2019-01-01,SVX Group
Venture Round - Renewable Energy Systems,https://www.crunchbase.com/funding_round/renewable-energy-systems-series-unknown--fa058fd8,2019-01-01,Canbank Venture Capital Fund
Grant - Digime3D,https://www.crunchbase.com/funding_round/digime3d-grant--67f2ceb8,2019-01-01,Hackquarters
Venture Round - Pep Culter,https://www.crunchbase.com/funding_round/pep-culter-series-unknown--2961edfb,2019-01-01,WhileOfOne Innovation Labs
Venture Round - Create Town,https://www.crunchbase.com/funding_round/create-town-series-unknown--503af0fe,2019-01-01,WhileOfOne Innovation Labs
Venture Round - Green Stick,https://www.crunchbase.com/funding_round/green-sticks-series-unknown--9ac65aaa,2019-01-01,WhileOfOne Innovation Labs
Venture Round - Report problem,https://www.crunchbase.com/funding_round/report-problem-series-unknown--366c1854,2019-01-01,WhileOfOne Innovation Labs
Venture Round - Job Card,https://www.crunchbase.com/funding_round/job-card-series-unknown--4b6ee30b,2019-01-01,WhileOfOne Innovation Labs
Venture Round - Anytimefix,https://www.crunchbase.com/funding_round/anytimefix-series-unknown--f4add604,2019-01-01,WhileOfOne Innovation Labs
Venture Round - Stamperwo,https://www.crunchbase.com/funding_round/stamperwo-series-unknown--94c27d76,2019-01-01,WhileOfOne Innovation Labs
Venture Round - Quantum Touch,https://www.crunchbase.com/funding_round/quantum-touch-series-unknown--e8721097,2019-01-01,WhileOfOne Innovation Labs
Venture Round - Aactron,https://www.crunchbase.com/funding_round/aactron-series-unknown--7c3fba6f,2019-01-01,WhileOfOne Innovation Labs
Venture Round - Michigan Clinical Service,https://www.crunchbase.com/funding_round/michigan-clinical-service-series-unknown--5e25d756,2019-01-01,WhileOfOne Innovation Labs
Venture Round - DigiCard,https://www.crunchbase.com/funding_round/digicard-series-unknown--5ce758f4,2019-01-01,WhileOfOne Innovation Labs
Venture Round - Foodango,https://www.crunchbase.com/funding_round/foodango-series-unknown--9ac29183,2019-01-01,WhileOfOne Innovation Labs
Venture Round - Questionnaire,https://www.crunchbase.com/funding_round/questionnaire-series-unknown--5229bf9f,2019-01-01,WhileOfOne Innovation Labs
Venture Round - Flock Meet,https://www.crunchbase.com/funding_round/flock-meet-series-unknown--bd4ab0af,2019-01-01,WhileOfOne Innovation Labs
Venture Round - Roster App,https://www.crunchbase.com/funding_round/roster-app-series-unknown--0eaf0b54,2019-01-01,WhileOfOne Innovation Labs
Venture Round - QuantumFly,https://www.crunchbase.com/funding_round/quantumfly-series-unknown--3cff46e2,2019-01-01,WhileOfOne Innovation Labs
Venture Round - Smart Buildings,https://www.crunchbase.com/funding_round/smart-buildings-series-unknown--c81f574b,2019-01-01,WhileOfOne Innovation Labs
Venture Round - I.C.E platform,https://www.crunchbase.com/funding_round/i-c-e-platform-series-unknown--489bed82,2019-01-01,WhileOfOne Innovation Labs
Venture Round - HealthSense,https://www.crunchbase.com/funding_round/healthsense-8b86-series-unknown--0290d2a8,2019-01-01,WhileOfOne Innovation Labs
Venture Round - Yoruba,https://www.crunchbase.com/funding_round/yoruba-series-unknown--5993932b,2019-01-01,WhileOfOne Innovation Labs
Venture Round - Disprz,https://www.crunchbase.com/funding_round/learntron-series-unknown--559c70f0,2019-01-01,Xseed Partners
Seed Round - Manage digi docs,https://www.crunchbase.com/funding_round/manage-digi-docs-seed--9789c18b,2019-01-01,WhileOfOne Innovation Labs
Venture Round - Green and Grains,https://www.crunchbase.com/funding_round/green-and-grains-series-unknown--c8ca9063,2019-01-01,IIM Calcutta Innovation Park
Venture Round - Bee Basket Enterprises,https://www.crunchbase.com/funding_round/bee-basket-enterprises-series-unknown--cfdf070e,2019-01-01,IIM Calcutta Innovation Park
Venture Round - jovaki Agro Food India,https://www.crunchbase.com/funding_round/jovaki-agro-food-india-series-unknown--3fdc49c8,2019-01-01,IIM Calcutta Innovation Park
Venture Round - Brelo,https://www.crunchbase.com/funding_round/brelo-series-unknown--abb2dbe8,2019-01-01,RevvX Hardware / IOT Accelerator
Venture Round - Galacrity Internet Technologies,https://www.crunchbase.com/funding_round/galacrity-internet-technologies-pvt-ltd-series-unknown--114513ae,2019-01-01,WhileOfOne Innovation Labs
Venture Round - Monosha-Biotech,https://www.crunchbase.com/funding_round/monosha-biotech-series-unknown--502a80f6,2019-01-01,IIM Calcutta Innovation Park
Venture Round - Ezeecube,https://www.crunchbase.com/funding_round/ezeecube-series-unknown--c25aaf95,2019-01-01,RevvX Hardware / IOT Accelerator
Venture Round - Aquamen Fisheries,https://www.crunchbase.com/funding_round/aquamen-fisheries-series-unknown--47e552c3,2019-01-01,IIM Calcutta Innovation Park
Venture Round - Xmachines,https://www.crunchbase.com/funding_round/xmachines-series-unknown--ec50ce92,2019-01-01,XSeed Capital
