Investor Name,Announced Date 
Xpring,2019-07-10
Access Ventures,2019-07-10
AV8 Ventures,2019-07-10
Earth Investments,2019-07-10
2019-07-10,Hemisphere Ventures
2019-07-10,Kodem Growth Partners
Moonshots Capital,2019-07-10
2019-07-10,New Science Ventures
Service Provider Capital,2019-07-10
Valo Ventures,2019-07-10
Virginia Tech Carilion (VTC) Innovation Fund,2019-07-10
Cherry Ventures,2019-07-10
Holtzbrinck Digital,2019-07-10
Partech,2019-07-10
Target Global,2019-07-10
Wellington Partners,2019-07-10
Arrington XRP Capital,2019-07-10
Binance Labs,2019-07-10
DHVC,2019-07-10
Electric Capital,2019-07-10
Fenbushi Capital,2019-07-10
IOSG Ventures,2019-07-10
Jehan Chu,2019-07-10
NEO Global Capital (NGC),2019-07-10
Accel,2019-07-10
Baseline Ventures,2019-07-10
Bregal Sagemount,2019-07-10
DAG Ventures,2019-07-10
Icon Ventures,2019-07-10
2019-07-10,Industry Ventures
2019-07-10,DN Capital
2019-07-10,Generation Investment Management
2019-07-10,Owl Rock Capital Partners
2019-07-10,PayU
2019-07-10,Princeville Global
Prudential Financial,2019-07-10
Schroder & Co Bank AG,2019-07-10
Stripes,2019-07-10
Top Tier Capital Partners,2019-07-10
AlleyCorp,2019-07-10
2019-07-10,Ben Kaufman
Company Ventures,2019-07-10
Dan Rose,2019-07-10
First Round Capital,2019-07-10
Redpoint,2019-07-10
2019-07-10,Crowdcube
2019-07-10,Joules Kylie
Sabina Hegarty,2019-07-10
Twister Capital,2019-07-10
A.Capital Ventures,2019-07-10
Bain Capital Ventures,2019-07-10
Bessemer Venture Partners,2019-07-10
2019-07-10,Collaborative Fund
2019-07-10,Dragonfly Capital Partners
Hack VC,2019-07-10
INBlockchain,2019-07-10
SV Angel,2019-07-10
7BC Venture Capital,2019-07-10
2019-07-10,Citrix Startup Accelerator
Intel Capital,2019-07-10
PivotNorth Capital,2019-07-10
UL Ventures,2019-07-10
Techstars,2019-07-10
Techstars IoT,2019-07-10
2019-07-10,Amadeus Capital Partners
Santander InnoVentures,2019-07-10
2019-07-10,SoftBank
SoftBank Vision Fund,2019-07-10
2019-07-10,Vostok Emerging Finance
14th Street Global Ventures,2019-07-10
ATM Capital,2019-07-10
Fosun International,2019-07-10
Global Grand Leisure,2019-07-10
JD.com,2019-07-10
Redbadge Pacific,2019-07-10
2019-07-10,WHG Capital
Intel Capital,2019-07-10
Transform VC,2019-07-10
2019-07-10,True Ventures
Fang Li,2019-07-10
Queen City Angels,2019-07-10
Sequoia Scout,2019-07-10
Thomas Ciszek,2019-07-10
2019-07-10,T3 Girişim Merkezi
ACME Capital,2019-07-10
2019-07-10,Correlation Ventures
2019-07-10,Founders Fund
2019-07-10,Khosla Ventures
Sriram Krishnan,2019-07-10
2019-07-10,Connecticut Innovations
2019-07-10,Jerusalem Venture Partners (JVP)
Mindset Ventures,2019-07-10
Owl Ventures,2019-07-10
Qatar Investment Authority,2019-07-10
SWFI,2019-07-10
Andreessen Horowitz,2019-07-10
Blockchain Capital,2019-07-10
Elysium Venture Capital,2019-07-10
Visa,2019-07-10
2019-07-10,TVS Capital Funds
HAX,2019-07-10
2019-07-10,SOSV
Insight Partners,2019-07-10
OpenView,2019-07-10
Trinity Ventures,2019-07-10
Anaxago,2019-07-10
Cédric Delorme,2019-07-10
2019-07-10,Meusinvest (Noshaq)
ARCH Venture Partners,2019-07-10
2019-07-10,Biopath Ventures
2019-07-10,Seeds Capital
Siddharth Jain,2019-07-10
Startup Funding Club,2019-07-10
2019-07-10,TVS Capital Funds
Bertrand Diard,2019-07-10
Serena,2019-07-10
2019-07-10,Palladium Corporate Venture
The Crowd Angel,2019-07-10
TheVentureCity Growth Accelerator,2019-07-10
2019-07-10,First Analysis
Oyster Capital Partners,2019-07-10
2019-07-10,Bojiang Capital
2019-07-10,iStart Ventures
Luoyang Donglin Venture Capital,2019-07-10
2019-07-10,Decheng Capital
Heritas Capital Management,2019-07-10
2019-07-10,Seeds Capital
Blue Heron Capital,2019-07-10
Bridge Bank,2019-07-10
Frist Cressey Ventures,2019-07-10
Fulcrum Equity Partners,2019-07-10
AngelLoop,2019-07-10
Brisbane Angels,2019-07-10
muru-D,2019-07-10
2019-07-10,RCL Accelerator
An Xin Capital,2019-07-10
ChiFortune Venture,2019-07-10
Xiamen Semiconductor Investment Group,2019-07-10
Yinxinggu Capital,2019-07-10
HDFC Standard Life Insurance,2019-07-10
2019-07-10,ICICI Prudential Life Insurance
Pi Ventures,2019-07-10
2019-07-10,SIDBI
Barclays,2019-07-10
Goldman Sachs,2019-07-10
Silicon Valley Bank,2019-07-10
Alumni Ventures Group,2019-07-10
2019-07-10,Crowdcube
National Science Foundation,2019-07-10
2019-07-10,Fabian Hielte
Lars Svensson,2019-07-10
Thorbjörn Fors,2019-07-10
Dutch Good Growth Fund,2019-07-10
Seed Capital,2019-07-10
Act Venture Capital,2019-07-10
Enterprise Ireland,2019-07-10
Episode 1,2019-07-10
Autodesk,2019-07-10
2019-07-10,Citigroup
2019-07-10,BDC Capital
Desjardins Venture Capital,2019-07-10
Investissement Quebec,2019-07-10
OurCrowd,2019-07-10
2019-07-10,Viola Growth
2019-07-10,BMO Nesbitt Burns
Desjardins Securities,2019-07-10
Scotia Capital,2019-07-10
LocalGlobe,2019-07-10
Tribe Capital,2019-07-10
2019-07-10,Y Combinator
2019-07-10,Genesis Investments
Michael Puzrakov,2019-07-10
2019-07-10,TA Ventures
BVP,2019-07-10
2019-07-10,Haatch
Halo Business Angel Network,2019-07-10
Anthemis Group,2019-07-10
Nippon Broadcasting System,2019-07-10
Tamburi Investment Partners,2019-07-10
Connetic Ventures,2019-07-10
Braincapital,2019-07-10
Portugal Ventures,2019-07-10
Startup Braga,2019-07-10
Gotham Green Partners,2019-07-10
2019-07-10,Wicklow Capital
Scottish Enterprise,2019-07-10
Research England,2019-07-10
2019-07-10,Daocin Capital
Tuling Capital,2019-07-10
2019-07-10,10X Investments
Speedinvest,2019-07-10
V.C. Nannapaneni,2019-07-10
Clearlake Capital Group,2019-07-10
TA Associates,2019-07-10
Samsung Ventures,2019-07-10
Samsung Ventures,2019-07-10
2019-07-10,Venture Kick
2019-07-10,Venture Kick
Fresco Capital,2019-07-10
Asset Management Ventures (AMV),2019-07-10
Portugal Ventures,2019-07-10
Add Health Media,2019-07-10
Avidbank Specialty Finance,2019-07-10
NPIF - FW Capital Debt Finance,2019-07-10
Innovate UK,2019-07-10
Craig Newmark Philanthropies,2019-07-10
Hiventures Investment Fund,2019-07-10
Hiventures Investment Fund,2019-07-10
Abu Dhabi Investment Authority,2019-07-10
2019-07-10,Trifecta Capital
2019-07-10,Ruihe Venture Capital
2019-07-10,Midlands Engine Investment Fund
National Science Foundation,2019-07-10
2019-07-10,Tencent Holdings
Zhaogang.com,2019-07-10
Leeds Equity Partners,2019-07-10
U.S. Department of Labor,2019-07-10
COCOCapital,2019-07-10
2019-07-10,eBay
Illuminate Financial,2019-07-10
Elsewhere Partners,2019-07-10
2019-07-10,Riverside Company
Redpoint,2019-07-10
Salesforce Ventures,2019-07-10
Beijing E-town International Investment & Development,2019-07-10
Greater Pacific Capital,2019-07-10
FPF Capital,2019-07-10
Romain Niccoli,2019-07-10
Samsung Ventures,2019-07-10
SEEK,2019-07-10
2019-07-10,Sembcorp Industries
2019-07-10,Biomedical Catalyst Fund
Insurtech Gateway,2019-07-10
Richard Gati,2019-07-10
Light Street Capital,2019-07-10
Plug and Play,2019-07-10
Plug and Play,2019-07-10
SnapChat,2019-07-10
SAIF Partners,2019-07-10
Warburg Pincus,2019-07-10
Francisco Partners,2019-07-10
Accel,2019-07-11
2019-07-11,Accel India
2019-07-11,Composite Capital Management
InnoVen Capital,2019-07-11
2019-07-11,International Finance Corporation
Jungle Ventures,2019-07-11
2019-07-11,Neeraj Arora
Ratan Tata,2019-07-11
Sequoia Capital India,2019-07-11
2019-07-11,Tiger Global Management
2019-07-11,Avalon Ventures
Canaan Partners,2019-07-11
Dreamers VC,2019-07-11
2019-07-11,GingerBread Capital
James Whittaker,2019-07-11
JetBlue Technology Ventures,2019-07-11
Mark Cuban,2019-07-11
2019-07-11,MS&AD Ventures
2019-07-11,NEA
2019-07-11,NewView Capital
2019-07-11,Plum Alley
2019-07-11,Wharton Alumni Angels
2019-07-11,CyberAgent
2019-07-11,"Dinos Cecile Co.,Ltd."
Namura Suguru,2019-07-11
2019-07-11,Leave a Nest
2019-07-11,Real Tech Fund
Tanaka Scale Works,2019-07-11
2019-07-11,1517 Fund
Canvas Ventures,2019-07-11
2019-07-11,Cornes Technology
Corning,2019-07-11
2019-07-11,G2VP
Invariantes Fund,2019-07-11
2019-07-11,Moore Capital
Peter Thiel,2019-07-11
2019-07-11,The Westly Group
2019-07-11,Volvo Cars Tech Fund
2019-07-11,Angel Invest
2019-07-11,Kairos Ventures
2019-07-11,LocalGlobe
2019-07-11,Max Ventures
2019-07-11,NextView Ventures
2019-07-11,Techstars
2019-07-11,Amplify.LA
2019-07-11,Global Founders Capital
MaC Venture Capital,2019-07-11
2019-07-11,East Ventures
Skyland Ventures,2019-07-11
2019-07-11,WES Ecosystem Fund Canada
2019-07-11,BlueYard Capital
2019-07-11,Coinbase Ventures
2019-07-11,Collaborative Fund
2019-07-11,Henri Stern
Jesse Clayburgh,2019-07-11
2019-07-11,Multicoin Capital
2019-07-11,Starchain Capital
2019-07-11,System.One
ByteDance,2019-07-11
2019-07-11,Kakao Ventures
Lighthouse Combined Investment,2019-07-11
2019-07-11,Pinpoint Ventures
TAL Education Group,2019-07-11
2019-07-11,Tan Tan Ventures
2019-07-11,Yongjin Group
Berlin.de,2019-07-11
2019-07-11,Berliner Volksbank Ventures
ECONA AG,2019-07-11
High-Tech Grunderfonds,2019-07-11
2019-07-11,IBB Beteiligungsgesellschaft
Hyundai Venture Investment Corporation,2019-07-11
2019-07-11,Korea Investment Partners
2019-07-11,Mirae Asset Venture Investment
2019-07-11,HAX
2019-07-11,SOSV
Agex Communications,2019-07-11
BootstrapLabs,2019-07-11
2019-07-11,DN Capital
2019-07-11,Peter Sterky
2019-07-11,Y Combinator
Bright Pixel,2019-07-11
2019-07-11,DNX Ventures
Portugal Ventures,2019-07-11
2019-07-11,Vertex Ventures
2019-07-11,Wells Fargo
2019-07-11,Bayern Kapital
2019-07-11,EF Investments
2019-07-11,Future Capital Development Fund
Hanseatic Asset Management,2019-07-11
2019-07-11,HeidelbergCapital Private Equity
2019-07-11,Rington Holdings
MFG Partners,2019-07-11
ORIX Mezzanine & Private Equity,2019-07-11
2019-07-11,Redstone
2019-07-11,Khosla Ventures
2019-07-11,LocalGlobe
MetaProp NYC,2019-07-11
2019-07-11,Stacked Capital
Wayra,2019-07-11
2019-07-11,Development Bank of Wales
The Waterloo Foundation,2019-07-11
The Welsh Government,2019-07-11
2019-07-11,Wesley Clover
Kenyan Cornerstone Group.,2019-07-11
Lateral Capital,2019-07-11
VenturEast,2019-07-11
2019-07-11,Dentsu
Escalate Capital Partners,2019-07-11
2019-07-11,InterWest Partners
BlueBird Merchant Ventures,2019-07-11
2019-07-11,Fannin Innovation Studio
2019-07-11,Scientific Health Development Partners
2019-07-11,D1 Capital Partners
GGV Capital,2019-07-11
2019-07-11,Warburg Pincus
NEXEA Venture Capital & Angel Investors,2019-07-11
SeedPlus,2019-07-11
2019-07-11,Crowdcube
Fresco Capital,2019-07-11
Monk’s Hill Ventures,2019-07-11
Inveready,2019-07-11
Sabadell Venture Capital,2019-07-11
Ascend Venture Capital,2019-07-11
2019-07-11,Shell Ventures
2019-07-11,Sumitomo Corporation
2019-07-11,Virtway Invest
IDG Capital,2019-07-11
2019-07-11,Shenzhen Guozhong Venture Capital Management
2019-07-11,Volcanics Venture
2019-07-11,Horizons Ventures
2019-07-11,Tuatara Capital
Insight Partners,2019-07-11
2019-07-11,Northern Australia Infrastructure Facility(NAIF)
2019-07-11,Isai
2019-07-11,Serena
2019-07-11,Apax Digital
2019-07-11,DTCP
Eos Venture Partners,2019-07-11
2019-07-11,Will Ventures
2019-07-11,Fabio Mondini de Focatiis
Lumen Ventures,2019-07-11
2019-07-11,EQT
2019-07-11,MindWorks Capital
2019-07-11,BlackFin Capital Partners
Partech,2019-07-11
Elevate Ventures,2019-07-11
National Science Foundation,2019-07-11
2019-07-11,500 Startups
2019-07-11,500 Startups
2019-07-11,People's United Financial
2019-07-11,IBI Tech Fund
2019-07-11,New York Angels
2019-07-11,The U.S. Air Force
Continental,2019-07-11
NewMargin Ventures,2019-07-11
2019-07-11,The CID Group
2019-07-11,Norwest Venture Partners
Birju Gala,2019-07-11
2019-07-11,Somendra Biswal
Contrarian Ventures,2019-07-11
2019-07-11,Klarna
2019-07-11,Climate-KIC Acceleration Programme
Jakob Heiberg,2019-07-11
Nex Cubed,2019-07-11
Kapor Center for Social Impact,2019-07-11
North Castle Partners,2019-07-11
CVC Capital Partners,2019-07-11
2019-07-11,Su Bin
2019-07-11,Robert Bosch Venture Capital
Mountaingate Capital,2019-07-11
2019-07-11,Collective Spark
2019-07-11,MindWorks Capital
2019-07-11,NextStage
2019-07-11,California Virtual Campus
La Perla,2019-07-11
PICC IMC,2019-07-11
2019-07-11,Global Brain Corporation
SBI Investment,2019-07-11
2019-07-11,Morningside Venture Capital
2019-07-11,California Virtual Campus
Hiventures Investment Fund,2019-07-11
Hiventures Investment Fund,2019-07-11
European Union,2019-07-11
2019-07-11,Rembrandt Venture Partners
2019-07-11,Maven Capital Partners
Venture Highway,2019-07-11
Golden Seeds,2019-07-11
2019-07-11,Agence National de la Recherche
2019-07-11,Coutts
2019-07-11,StartUp Health
2019-07-11,Canary
2019-07-12,Comcast Ventures
2019-07-12,Rembrandt Venture Partners
Tribeca Venture Partners,2019-07-12
2019-07-12,Vocap Investment Partners
Aflac Corporate Ventures,2019-07-12
2019-07-12,Alfresa Pharma
2019-07-12,Mitsubishi Research Institute
2019-07-12,Aurus
ChileGlobal Ventures,2019-07-12
2019-07-12,SBI Investment
UTEC- University of Tokyo Edge Capital,2019-07-12
2019-07-12,Great Noble International
InnoVen Capital,2019-07-12
2019-07-12,Insignia Ventures Partners
2019-07-12,Kickstart Ventures
2019-07-12,On Asset Management
2019-07-12,Pine Venture Partners
2019-07-12,Seeds Capital
2019-07-12,Singtel Innov8
2019-07-12,TH Capital
2019-07-12,Wavemaker Partners
2019-07-12,Andrew Cronk
2019-07-12,Buckley Endeavors
Fabric Ventures,2019-07-12
2019-07-12,Firstminute Capital
2019-07-12,Iain Simpson
Josh Buckley,2019-07-12
Lorien Gabel,2019-07-12
2019-07-12,MakerDAO
2019-07-12,Marcus Erken
Matt Harrop,2019-07-12
2019-07-12,Max Moldenhauer
2019-07-12,Piotr Smolen
2019-07-12,Richard Burton
2019-07-12,Seedcamp
2019-07-12,Tomasz Kolinko
2019-07-12,BoxGroup
2019-07-12,Collaborative Fund
Inspired Capital Partners,2019-07-12
2019-07-12,Maveron
2019-07-12,Refactor Capital
2019-07-12,Sidewalk Labs
2019-07-12,Thrive Capital
2019-07-12,Trail Mix Ventures
2019-07-12,Moderne Ventures
2019-07-12,and factory
2019-07-12,ATM Capital
2019-07-12,Fosun RZ Capital
Global Grand Leisure,2019-07-12
2019-07-12,JD.com
2019-07-12,Redbadge Pacific
2019-07-12,WPG Holdings
2019-07-12,Canadian Glycomics Network
2019-07-12,Dileep Nath
2019-07-12,growX ventures
2019-07-12,Matt Kozlov
2019-07-12,Pawan Sarda
2019-07-12,Raju Reddy
2019-07-12,K4 Ventures
Andy Chung,2019-07-12
2019-07-12,Ascension Ventures
2019-07-12,Episode 1
2019-07-12,Philipp Moehring
Unicorn Ascension Fund,2019-07-12
2019-07-12,Bloc Ventures
Innovate UK,2019-07-12
Enterprise Ireland,2019-07-12
2019-07-12,International Investment & Underwriting Limited
2019-07-12,Oregon Venture Fund
2019-07-12,Rogue Venture Partners
2019-07-12,The R-Group
LLC,2019-07-12
2019-07-12,Patrick Cheung
2019-07-12,ZWC Partners
BGF Ventures,2019-07-12
2019-07-12,Hargreave Hale
MMC Ventures,2019-07-12
Perwyn,2019-07-12
2019-07-12,Unilever Ventures
2019-07-12,Agile Accelerator
2019-07-12,Crowdcube
2019-07-12,INNOventure
RTAventures VC,2019-07-12
2019-07-12,Volkswagen Group
FTV Capital,2019-07-12
2019-07-12,Parallax Capital
2019-07-12,"IBC Co.,Ltd"
2019-07-12,FreshTracks Capital
2019-07-12,Polaris Partners
2019-07-12,Avidan Ross
Canaan Partners,2019-07-12
2019-07-12,James Hardiman
Investitionsbank Berlin,2019-07-12
CAS Star,2019-07-12
2019-07-12,Legend Star
2019-07-12,neeraj kumar
rajesh jamwal,2019-07-12
2019-07-12,Jiang Yinghao
2019-07-12,Zou Dongliang
2019-07-12,Almi Invest
2019-07-12,Propel Capital
2019-07-12,National Science Foundation
Stride.VC,2019-07-12
2019-07-12,MindWorks Capital
CP Ventures,2019-07-12
2019-07-12,Cygnet Capital
2019-07-12,VIA Equity
2019-07-12,Sky Saga Capital
2019-07-12,Beyond Science
2019-07-12,Nebraska Environmental Trust (NET)
2019-07-12,US Department of Energy
2019-07-12,Indiana University Philanthropic Venture Fund
StartAngels Network,2019-07-12
2019-07-12,R22
2019-07-12,UK Research Partnership Investment Fund
2019-07-12,Atlantic Canada Opportunities Agency
MMC Ventures,2019-07-12
2019-07-12,Atlantic Canada Opportunities Agency
2019-07-12,Vertex Ventures
Sofinnova Partners,2019-07-12
2019-07-12,Invest Nebraska
Plug and Play,2019-07-12
2019-07-12,Techstars Austin Accelerator
2019-07-12,Pecunio
2019-07-12,Secure Erie Accelerator
2019-07-13,Beijing Huawen Investment
2019-07-13,Grand Capital
2019-07-13,Xingkai International
2019-07-13,Lancome Ventures
Naissance Capital,2019-07-13
2019-07-13,Zhiwei Cai
2019-07-13,New England Grassroots Environment Fund
Linked Finance,2019-07-13
Brighteye Ventures,2019-07-14
Initial Capital,2019-07-14
PROfounders Capital,2019-07-14
Business Finland,2019-07-14
RHS Investments,2019-07-14
DT Capital Partners,2019-07-14
Guangzhou Daily Media,2019-07-14
Zhencheng Capital,2019-07-14
Gilead Sciences,2019-07-14
2019-07-15,Alumni Ventures Group
AVG First Check Fund,2019-07-15
AVG Select Fund,2019-07-15
2019-07-15,AVG Women's Fund
2019-07-15,Bumble Fund
Mark Cuban,2019-07-15
2019-07-15,Purple Arch Ventures
2019-07-15,Serena Ventures
2019-07-15,Strawberry Creek Ventures
2019-07-15,Alexander Golding
2019-07-15,Brian Mullins
2019-07-15,David Pottruck
2019-07-15,EA Global Consulting LLC
2019-07-15,Eucalyptus Burlingame LLC
2019-07-15,For Good Ventures
Jim Fowler,2019-07-15
2019-07-15,Ken Tam
2019-07-15,Maples Burlingame LLC
2019-07-15,Robert Williamson
2019-07-15,Structure Capital
2019-07-15,West
2019-07-15,83North
2019-07-15,BHI
2019-07-15,ConnectOne Bank
IDB Lab,2019-07-15
2019-07-15,Viola Credit
Cox Enterprises,2019-07-15
2019-07-15,Techstars
2019-07-15,Techstars Atlanta
2019-07-15,COX Enterprises Social Impact Accelerator
Comcast NBCUniversal LIFT Labs Accelerator,2019-07-15
Powered by Techstars,2019-07-15
2019-07-15,Techstars
2019-07-15,Techstars
2019-07-15,Techstars Detroit Accelerator
2019-07-15,Techstars
2019-07-15,Techstars Detroit Accelerator
Comcast NBCUniversal LIFT Labs Accelerator,2019-07-15
Powered by Techstars,2019-07-15
2019-07-15,Techstars
2019-07-15,Techstars
2019-07-15,Techstars Detroit Accelerator
2019-07-15,Techstars
2019-07-15,Techstars Detroit Accelerator
2019-07-15,Techstars
2019-07-15,Techstars Detroit Accelerator
2019-07-15,Techstars
2019-07-15,Techstars Atlanta
2019-07-15,COX Enterprises Social Impact Accelerator
2019-07-15,Techstars
2019-07-15,Techstars Atlanta
2019-07-15,COX Enterprises Social Impact Accelerator
2019-07-15,Techstars
2019-07-15,Techstars Detroit Accelerator
Comcast NBCUniversal LIFT Labs Accelerator,2019-07-15
Powered by Techstars,2019-07-15
2019-07-15,Techstars
Comcast NBCUniversal LIFT Labs Accelerator,2019-07-15
Powered by Techstars,2019-07-15
2019-07-15,Techstars
2019-07-15,Techstars
2019-07-15,Techstars Atlanta
2019-07-15,COX Enterprises Social Impact Accelerator
Comcast NBCUniversal LIFT Labs Accelerator,2019-07-15
Powered by Techstars,2019-07-15
2019-07-15,Techstars
2019-07-15,Techstars
2019-07-15,Techstars Detroit Accelerator
2019-07-15,Techstars
2019-07-15,Techstars Atlanta
2019-07-15,COX Enterprises Social Impact Accelerator
Comcast NBCUniversal LIFT Labs Accelerator,2019-07-15
Powered by Techstars,2019-07-15
2019-07-15,Techstars
2019-07-15,Techstars
2019-07-15,Techstars Atlanta
2019-07-15,COX Enterprises Social Impact Accelerator
2019-07-15,Techstars
2019-07-15,Techstars Atlanta
2019-07-15,COX Enterprises Social Impact Accelerator
Comcast NBCUniversal LIFT Labs Accelerator,2019-07-15
Powered by Techstars,2019-07-15
2019-07-15,Techstars
2019-07-15,Techstars
2019-07-15,Techstars Farm to Fork Accelerator
Comcast NBCUniversal LIFT Labs Accelerator,2019-07-15
Powered by Techstars,2019-07-15
2019-07-15,Techstars
2019-07-15,Techstars
2019-07-15,Techstars Farm to Fork Accelerator
2019-07-15,Techstars
2019-07-15,Techstars Farm to Fork Accelerator
2019-07-15,Techstars
2019-07-15,Techstars Farm to Fork Accelerator
2019-07-15,Techstars
2019-07-15,Techstars Farm to Fork Accelerator
2019-07-15,Techstars
2019-07-15,Techstars Farm to Fork Accelerator
2019-07-15,Techstars
2019-07-15,Techstars Starburst Space Accelerator
2019-07-15,Techstars
2019-07-15,Techstars Starburst Space Accelerator
2019-07-15,Stanley+Techstars Additive Manufacturing Accelerator
2019-07-15,Techstars
2019-07-15,Techstars
2019-07-15,Techstars Starburst Space Accelerator
2019-07-15,Techstars
2019-07-15,Techstars Starburst Space Accelerator
2019-07-15,Stanley+Techstars Additive Manufacturing Accelerator
2019-07-15,Techstars
2019-07-15,Stanley+Techstars Additive Manufacturing Accelerator
2019-07-15,Techstars
2019-07-15,Techstars
2019-07-15,Techstars Starburst Space Accelerator
2019-07-15,Techstars
2019-07-15,Techstars Starburst Space Accelerator
Loup Ventures,2019-07-15
2019-07-15,Techstars
2019-07-15,Techstars Los Angeles Accelerator
2019-07-15,Techstars
2019-07-15,Techstars Starburst Space Accelerator
2019-07-15,Techstars
2019-07-15,Techstars Farm to Fork Accelerator
Anil D. Aggarwal,2019-07-15
2019-07-15,Index Ventures
2019-07-15,Lightspeed Venture Partners
2019-07-15,Salesforce Ventures
2019-07-15,Village Global
2019-07-15,Wendy Tan White
2019-07-15,Techstars
2019-07-15,Techstars Detroit Accelerator
Breega,2019-07-15
2019-07-15,CreditEase Fintech Investment Fund
2019-07-15,Gauss Ventures
2019-07-15,IDC Ventures
Outward VC,2019-07-15
Santander InnoVentures,2019-07-15
2019-07-15,Seedcamp
2019-07-15,Speedinvest
2019-07-15,Stanley+Techstars Additive Manufacturing Accelerator
2019-07-15,Techstars
Comcast NBCUniversal LIFT Labs Accelerator,2019-07-15
Powered by Techstars,2019-07-15
2019-07-15,Gabriel Diop
2019-07-15,Jackson Moses
2019-07-15,Jock Percy
2019-07-15,Techstars
2019-07-15,David Ford
2019-07-15,O2h Ventures
2019-07-15,Oxford Investment Opportunity Network
2019-07-15,Moderne Ventures
2019-07-15,Moderne Ventures
2019-07-15,Moderne Ventures
2019-07-15,Techstars
2019-07-15,Techstars Detroit Accelerator
2019-07-15,Techstars
2019-07-15,Techstars Atlanta
2019-07-15,COX Enterprises Social Impact Accelerator
2019-07-15,Techstars
2019-07-15,Techstars Atlanta
2019-07-15,COX Enterprises Social Impact Accelerator
2019-07-15,James Avery
2019-07-15,MetLife Digital Accelerator powered by Techstars
Mike DeVries,2019-07-15
2019-07-15,One Way Ventures
2019-07-15,Techstars
2019-07-15,Stanley+Techstars Additive Manufacturing Accelerator
2019-07-15,Techstars
2019-07-15,London Co-Investment Fund
Newable Private Investing,2019-07-15
2019-07-15,Oliver Wyman
2019-07-15,PeakSpan Capital
2019-07-15,South Central Ventures
2019-07-15,Aviva Ventures
2019-07-15,Breed Reply
Hyundai Motor Company,2019-07-15
2019-07-15,Sumitomo Corporation
2019-07-15,West Hill Capital
Comcast NBCUniversal LIFT Labs Accelerator,2019-07-15
Powered by Techstars,2019-07-15
2019-07-15,Techstars
2019-07-15,Techstars
2019-07-15,Techstars Farm to Fork Accelerator
2019-07-15,Alexa Accelerator
Powered by Techstars,2019-07-15
2019-07-15,Techstars
2019-07-15,Alexa Accelerator
Powered by Techstars,2019-07-15
2019-07-15,Techstars
2019-07-15,Alexa Accelerator
Powered by Techstars,2019-07-15
2019-07-15,Techstars
2019-07-15,Techstars
2019-07-15,Techstars New York City Accelerator
2019-07-15,Alexa Accelerator
Powered by Techstars,2019-07-15
2019-07-15,Techstars
2019-07-15,Techstars
2019-07-15,Techstars London Accelerator
2019-07-15,Stanley+Techstars Additive Manufacturing Accelerator
2019-07-15,Techstars
2019-07-15,Alexa Accelerator
Powered by Techstars,2019-07-15
2019-07-15,Techstars
2019-07-15,Techstars
2019-07-15,Techstars New York City Accelerator
2019-07-15,Techstars
2019-07-15,Techstars London Accelerator
2019-07-15,Techstars
2019-07-15,Techstars New York City Accelerator
2019-07-15,Techstars
2019-07-15,Techstars London Accelerator
2019-07-15,Techstars
2019-07-15,Techstars Los Angeles Accelerator
2019-07-15,Techstars
2019-07-15,Techstars London Accelerator
2019-07-15,MetLife Digital Accelerator powered by Techstars
2019-07-15,Techstars
2019-07-15,Stanley+Techstars Additive Manufacturing Accelerator
2019-07-15,Techstars
2019-07-15,Stanley+Techstars Additive Manufacturing Accelerator
2019-07-15,Techstars
2019-07-15,Techstars
2019-07-15,Techstars New York City Accelerator
2019-07-15,Techstars
2019-07-15,Techstars Los Angeles Accelerator
2019-07-15,Techstars
2019-07-15,Techstars London Accelerator
2019-07-15,Techstars
2019-07-15,Techstars New York City Accelerator
2019-07-15,Stanley+Techstars Additive Manufacturing Accelerator
2019-07-15,Techstars
2019-07-15,Techstars
2019-07-15,Techstars London Accelerator
2019-07-15,Techstars Starburst Space Accelerator
2019-07-15,Techstars
2019-07-15,Techstars New York City Accelerator
2019-07-15,Techstars
2019-07-15,Techstars New York City Accelerator
2019-07-15,Techstars
2019-07-15,Techstars Farm to Fork Accelerator
2019-07-15,Techstars
2019-07-15,Techstars Farm to Fork Accelerator
2019-07-15,Shenzhen Small & Medium Enterprises Credit Financing Guarantee Group
2019-07-15,East Ventures
2019-07-15,MetLife Digital Accelerator powered by Techstars
2019-07-15,Techstars
2019-07-15,Techstars
2019-07-15,Techstars Detroit Accelerator
Beijing Wenke Investment Consultants Co.,2019-07-15
JimiStore,2019-07-15
2019-07-15,Techstars
2019-07-15,Techstars Starburst Space Accelerator
2019-07-15,Techstars
2019-07-15,Techstars Atlanta
2019-07-15,COX Enterprises Social Impact Accelerator
Adam Sah,2019-07-15
2019-07-15,Alchemist Accelerator
Chris Sang,2019-07-15
2019-07-15,Will Herman
2019-07-15,7 Blocks
Polychain,2019-07-15
30Ventures,2019-07-15
2019-07-15,Flying Point Industries
2019-07-15,Rise of the Rest
2019-07-15,Alpenroute Asset Management
2019-07-15,D Ventures Private Investment Fund
2019-07-15,DSC Investment
IMM Investment,2019-07-15
Korea Growth Investment Corp,2019-07-15
2019-07-15,Premier Partners
2019-07-15,Afore Capital
2019-07-15,Foundation Capital
Kleiner Perkins,2019-07-15
2019-07-15,Trail Mix Ventures
2019-07-15,Contriber Ventures
2019-07-15,Karma Ventures
2019-07-15,Leap Ventures
United Angels VC,2019-07-15
Vendep Capital,2019-07-15
